pʰu	pu
zuʌʔ	zsuaq
tsʰuʌʔ	cuaq
kuʌʔ	guaq
kʰuʌʔ	kuaq
xuʌʔ	huaq
uʌʔ	wuaq
luʌʔ	luaq
tɕyʌʔ	jyuaq
ɕyʌʔ	xyuaq
tɕʰyʌʔ	qyuaq
yʌʔ	yuaq
ər	er
