韻尾,介音,韻母,p,ph,t,th,ts,s,z,tsh,tʂ,ʂ,ʐ,tʂh,tɕ,ɕ,tɕh,k,kh,x,m,n,ȵ,ɳ,nz,ŋ,l,零
零,i,iəu,,,,,,,,,,,,,24 舅舊,24 袖,,,,,,,,,,,24 六,24 右幼
零,i,iəu,,,,512 ◽️,,,,,,,,,512 酒九,512 朽,512 ◽️,,,,,,,,,,512 柳,512 有
零,i,iɛ,,,,,,,,,,,,,213 茄街耕,213 斜,213 揩搓,213 歌哥,213 可,,,,,,,213 鵝屙,,213 爺
零,i,iɛ,,,,,,,,,,,,,24 左借,24 謝蟹,,,,,,,,,,24 餓,,24 夜
零,i,iɛ,,,,,,,,,,,,,512 姐解,512 寫,512 且,,512 可,,,,,,,512 我,,512 野
零,u,uə,213 幫,,213 當,213 拖湯,213 長裝樁,213 瘡床嘗窗,,213 創,,,,,,,,213 光,213 糠,213 慌黃方房防,213 忙,,,,,,213 涼,213 王
零,u,uə,24 棒,,24 墮,24 燙唾,24 丈,24 上,,24 雙,,,,,,,,24 過,24 課,24 貨禍放,,,,,,,24 亮,24 旺
零,u,uə,512 膀,,512 朵,512 橢,512 左,512 所,,512 搓,,,,,,,,512 果,512 顆,512 紡,512 莽,,,,,,512 裸,512 網
零,u,uei,,,213 ◽️,,213 追,213 隨,,213 吹垂錘,,,,,,,,213 規龜,213 虧,213 飛肥,,,,,,,213 驢,213 危圍
零,u,uei,,,24 剁,24 唾,24 醉,24 歲,,24 翠,,,,,,,,24 過桂櫃貴,24 跪,24 貨禍肺費,,,,,,,24 類淚,24 衛位味胃臥
零,u,uei,,,512 躲,,512 嘴,512 水,,512 璀,,,,,,,,512 果鬼,512 顆,512 火,,,,,,,512 呂,512 僞
零,u,uæe,,,213 堆,213 推,,213 衰,,213 摧,,,,,,,,213 ◽️,213 盔,213 灰回懷,,,,,,,213 雷,213 歪
零,u,uæe,,,24 對,24 退,24 罪,24 碎,,24 踹,,,,,,,,24 怪,24 快,24 會壞,,,,,,,24 擂,24 外
零,u,uæe,,,,512 腿,,512 甩揣,,512 揣,,,,,,,,512 拐,512 塊,512 塊,,,,,,,512 磊,512 兀
零,u,uɑ,,,,,213 抓,,,,,,,,,,,213 瓜刮,213 誇,213 花華,,,,,213 拏,,,213 挖
零,u,uɑ,,,,,,,,,,,,,,,,24 掛,24 跨,24 化畫話,,,,,,,,24 窪
零,u,uɑ,,,,,,512 耍,,,,,,,,,,512 寡,512 垮,,,,,,,,,512 瓦
零,y,yə,,,,,,,,,,,,,213 藏豇強,213 廂,213 倉,,,,,,213 娘,,,,,213 秧
零,y,yə,,,,,,,,,,,,,24 匠,24 像,24 嗆,,,,,,,,,,,24 樣
零,y,yə,,,,,,,,,,,,,,512 想,512 搶,,,,,,,,,,,512 養
零,y,yɛ,,,,,,,,,,,,,213 居,213 靴橫梭,,,,,,,,,,,,
零,y,yɛ,,,,,,,,,,,,,24 坐,,,,,,,,,,,,,
零,y,yɛ,,,,,,,,,,,,,,512 鎖,,,,,,,,,,,,
ŋ,零,əŋ,213 盆,213 盆朋棚蓬蜂,213 燈謄,213 吞藤,213 爭,213 參僧生,,213 層,213 針貞,213 嗔深神身升聲,213 人,213 沉陳辰程城,,,,213 根,213 坑,213 恆,213 門,213 能膿濃,,,213 擰,213 恩,213 稜,
ŋ,零,əŋ,24 笨,24 碰,24 凳,,24 掙繒◽️,24 滲,,24 襯,24 鎮證正,24 甚,24 任認,24 秤,,,,24 更,,24 橫,24 夢,24 嫩,,,,,24 愣,
ŋ,零,əŋ,512 本,512 捧,512 等,512 㖔,,512 省,,,512 震整,512 審,512 忍,512 稱,,,,512 耿,512 肯,512 恨,512 猛,,,,,,512 冷,
ŋ,i,iəŋ,213 冰兵,213 貧平瓶,213 釘,213 廳聽停,,,,,,,,,213 金筋勤更經,213 心尋新行星形,213 浸琴親勤清輕青,,,,213 民明名,,213 銀,,,,213 林鄰零,213 音蠅迎營
ŋ,i,iəŋ,24 病,24 聘,24 定,,,,,,,,,,24 進勁近鏡靜,24 興姓,24 慶,,,,24 命,,24 硬,,,,24 賃,24 印
ŋ,i,iəŋ,512 柄餅,512 品,512 頂,512 挺,,,,,,,,,512 緊井,512 醒,512 請傾,,,,512 抿,,,,,,512 領,512 引隱影
ŋ,u,uəŋ,,,213 墩蹲東銅冬,213 通,213 中終,213 孫松,213 絨,213 村春純蔥蟲充衝,,,,,,,,213 公翁宮恭,213 空,213 婚魂分墳烘紅風豐封蜂,,,,,,,213 輪聾龍,213 溫蚊翁
ŋ,u,uəŋ,,,24 凍動洞,24 痛,24 重種,24 唇順送宋,24 閏,24 寸,,,,,,,,24 共謴,24 困,24 糞鳳縫,,,,,,,24 弄,24 問
ŋ,u,uəŋ,,,512 懂,512 桶統,512 准腫,512 筍損,512 冗,512 沖,,,,,,,,512 滾,512 孔,512 粉,,,,,,,512 攏,512 穩
ŋ,y,yəŋ,,,,,,,,,,,,,213 均軍窮,213 兄熊兇,213 裙窮,,,,,,,,,,,213 勻雲榮容
ŋ,y,yəŋ,,,,,,,,,,,,,24 俊粽,24 熏雄,,,,,,,,,,,,24 運用
ŋ,y,yəŋ,,,,,,,,,,,,,512 窘,512 ◽️,,,,,,,,,,,,512 永擁
~,零,ɑ~,213 班搬盤幫,213 盤,213 單,213 貪潭彈湯糖,213 蠶,213 三杉衫山,,213 倉瘡,213 纏張章,213 傷,213 然,213 纏長嘗,,,,213 甘肝鋼,213 坑,213 含鹹還,213 忙,213 南囊,,213 黏,213 喃,213 安,213 藍蘭,
~,零,ɑ~,24 扮辦半棒,24 判胖,24 淡,24 炭,24 讚,24 散,,24 懺,24 占戰,24 扇善上,24 讓,24 唱,,,,24 幹,24 看,24 漢汗,24 慢,24 難,,,,24 暗岸,24 爛浪,
~,零,ɑ~,512 板扁綁,,512 膽黨,512 毯,512 攢,512 傘,,512 鏟產,512 掌,512 賞,512 染嚷,512 廠,,,,512 感敢,512 砍,512 喊,512 滿,512 曩,,,,512 唵,512 懶,
~,i,iɑ~,,,,,,,,,,,,,213 監間奸肩薑江,213 香鹹,213 鉛,,,,,,213 顏娘,,,,213 良,213 陽
~,i,iɑ~,,,,,,,,,,,,,24 漿匠,24 限像向降項,24 嵌鵮,,,,,,24 雁,,,,24 亮,24 樣
~,i,iɑ~,,,,,,,,,,,,,512 減講,512 想響,512 搶,,,,,,512 眼,,,,512 兩,512 癢
~,i,iɛ~,213 鞭,213 篇,213 甜田,213 添天田,,,,,,,,,213 尖鉗錢前,213 嫌鮮先,213 簽鉗前牽,,,,213 棉,,213 言年,,,,213 連蓮,213 鹽延煙
~,i,iɛ~,24 變便,24 騙,24 店墊,,,,,,,,,,24 劍件建健見,24 線現縣,24 欠,,,,24 面,,24 念,,,,24 鏈,24 驗厭炎
~,i,iɛ~,512 扁,512 片,512 點典,512 舔,,,,,,,,,512 剪,512 險顯,512 淺,,,,512 靦,,512 攆,,,,512 臉,512 演
~,u,uɑ~,,,213 端,213 團,213 磚裝樁,213 酸閂霜雙,,213 傳船床窗,,,,,,,,213 官關光,213 寬筐狂,213 歡還翻慌方房防,,,,,512 軟,,213 孿,213 完頑彎王
~,u,uɑ~,,,24 斷,,24 賺傳壯撞,24 算,,24 串,,,,,,,,24 慣,24 曠,24 犯換飯放,,,,,,,24 亂,24 萬旺
~,u,uɑ~,,,512 短,,512 轉,512 爽,512 軟,512 闖,,,,,,,,512 管,512 誆,512 反紡,,512 暖,,,,,512 卵,512 碗晚網
~,y,yɛ~,,,,,,,,,,,,,213 捐,213 宣,213 全圈權,,,,,,,,,,,213 圓原冤園
~,y,yɛ~,,,,,,,,,,,,,24 卷,24 旋,24 勸,,,,,,,,,,,24 院
~,y,yɛ~,,,,,,,,,,,,,512 呟,512 選,512 圈犬,,,,,,,,,,,512 遠
ʔ,零,ʌʔ,212 八撥剝北,212 潑,212 搭得,212 踏塔托特,212 紮作,212 殺索塞色,,212 插擦側測策,212 指折汁織窄摘,212 設虱失式,212 熱,212 撤拆尺喫,,,,212 可鴿割各格隔,212 可渴殼刻客,212 瞎黑,212 摸,,,,,212 鴨惡額,,
ʔ,零,ʌʔ,523 薄縛,,523 達,,523 雜閘擇,,,,523 侄直擇,523 十舌實食石,523 日,,,,,,,523 盒鶴,523 末墨木目,,,523 鑷,,,523 蠟辣落六,
ʔ,i,iʌʔ,212 憋筆北逼百壁,212 匹拍劈,212 跌得,212 貼鐵踢,,,,,,,,,212 夾甲接急節結吉積擊,212 吸歇息錫,212 切七坑客,,,,,,,,,,,212 一
ʔ,i,iʌʔ,523 鼻別白,,523 碟笛,,,,,,,,,,523 集及傑截極,523 協習學惜席,,,,,523 滅密墨麥,,523 業孽捏,,,,523 立列栗力曆,523 葉益
ʔ,u,uʌʔ,,,212 厾,212 脫,212 做桌竹粥,212 刷鐲縮叔,212 弱,212 出畜,,,,,,,,212 刮骨郭國穀,212 闊哭,212 法發霍或劃福,,,,,,,,212 屋
ʔ,u,uʌʔ,,,523 奪讀毒,,523 鐲燭,523 勺熟贖屬,523 入褥,,,,,,,,,,,523 活滑罰佛縛服,,,,,,,523 律鹿六綠,523 襪物
ʔ,y,yʌʔ,,,,,,,,,,,,,212 橘腳足,212 雪血削宿,212 缺菊曲,,,,,,,,,,,212 越約育握
ʔ,y,yʌʔ,,,,,,,,,,,,,523 絕決卒角族局,,,,,,,,,,,,,523 月藥
r,零,ər,,,,,,,,,,,,,,,,,,,,,,,,,,213 兒
r,零,ər,,,,,,,,,,,,,,,,,,,,,,,,,,24 二
r,零,ər,,,,,,,,,,,,,,,,,,,,,,,,,,512 耳
